,clean_text,spam
498, it s essential to be cautious with investments  do thorough research before investing in  btc  risk and potential gains should be carefully considered ,1
499, trading  made easy with    max global signal trade   we guarantee massive returns on every call  analysis on every call and mind blowing profits daily  about  500  1500  you can join us    ,1
500, nice hair  ,0
501, upper wick first please,0
502, these cucks should of been invested in japan for the last few months instead of btc   find the alpha don t hold the bags,0
503,  beeecause tonight will bee the night that i will fall for youuu ,0
504, i ve made a good amount of eth thanks to mev bots like jaredfromsubway  if you re curious about the method  click this link to watch the tutorial  ,1
505, sick of struggling to make ends meet  this web3 developer s mev strategy can turn your financial situation around  ,1
506, the more you fight it  the more joe will sniff on you neck ,0
507, give me a equal high or 30400 and after 27k,0
508, i love pain,0
509, i wonder what s the bull case for  ltc now    literally no place to hide if the program complies  ,0
510, that picture   ,0
511, i can smell the emo through this tweet,0
512, you are worked up today mate    ,0
513, but you are long tho  ,0
514, everybody is talking about this money method   has posted  but you won t mention this      ,1
515, could someone link me to that defi money  making method people have been using    ,1
516,  is now get in while you cannnnnn   ,1
517, manc go to the moon   ,1
518, wen stream bro ,0
519, wen market update in youtube ,0
520, fuckinggggg zeroooooo,0
521, grumpy old man,0
522, edgy bear npc character,0
523, hahaha perma bear,0
524, every 1 minute resistance i short with 200x leverage i think this is it this is the big one  then i get liquidated ,0
525, the myth  the legend  guy that knows who is behind bitcorn,0
526, what s this man s obsession with 0  each time he talks 95  of his sentences contains the word  zero ,0
527, zeeee fking ro,0
528, ,0
529, and then btc went to 63k       ,0
530,   ,0
531, who was this guy and what is he doing now ,0
532, zero  ,0
533, i make solid money by doing the opposite of what you said  ,0
534, ,0
535, ,0
536, lmao,0
537, imagine overcomplicating things   we all know it s going to zero  ,0
538, simplicity can be a powerful approach  enjoy your coffee and stick to what works for you  sometimes  the simplest strategies yield the best results  happy trading    ,0
539, i fucking love this crap,0
540, it s crazy how much money people are making with this  trick,1
541, where was the link to that defi free  money trick people are using   anybody  ,1
542, end of the week next week,0
543, only 10   are you gay ,0
544, traders in 2023 only know a flat bottom weekly monthly quarterly candle to start the year with  they don t know what it s like to have those candles filled in,0
545, or a red candle of 15  20    i m not seeing people panicking  where s the blood,0
546,  is one of a kind for sure    ,1
547, indeed fr,0
548, cry more,0
549, they also forgot what a 10  green candle is ,0
550, a 20  candle to the downside w d be nice ,0
551,    ,0
552, algo ,0
553, btc dom 60  24k btc   alts vs btc  40 ,0
554, aint that the truth,0
555, exactly  ,0
556, loss humbles all   but once you have mitigation strategies you re golden  i don t care if it goes up or down a 20  move either way would be amazing right now ,0
557, i really need that reminder  ninja    tired of them 10  green dildos  when you re short for so long  it feels like crypto becomes that green happy farm filled with bulls  dang,0
558, i m always seeing comment s about  almost everyday since last week on twitter  which i joined a few days ago  now i m here referring people to join too  because through his platform i have recover from the lose in recent cryptocrash,1
559,   trying hard to create fear   the once who   can t handle already left the industry    there will be no use of your bear posting you gonna get some likes or retweet just it  ,0
560, real bull markets used to have 40  days,0
561, ,0
562, execute that for us please   ,0
563, shorting heavily  ,0
564, 10  red candle bitcorn 80  red candle alt soon,0
565, and after that several by more  ,0
566, capo 2 0 ,0
567, so green than ,0
568, ready for both scenarios  buy on dip of your target  if not hold existing for bull run  but no selling ,0
569, new low incoming  ,0
570, ready for that a  15   20  dump want to see  ,0
571,"Wow, what a view",0
572,Buy the Horizen (Zen) It’s the good  one,0
573,Not if only I knew which were the good ones  been holding $MINA for a while which I thought was a good one but quite frankly who knows now!!,0
574,how you feel about $KAS?,0
575,$vet?,0
576,I did that with $XRP just 10 days before it pumps ,0
577,Learnt this the hard lesson in the last bull market.,0
578,Wen $DCOIN (date coin) launch ser .. jk of course,0
579,"On longer periods, #Bitcoin doesn't appear to be in poor shape. A healthy correction has occurred, and as long as #Bitcoin holds above $30,000, it's probable that the surge will continue until $35,000 Y'all follow @btchill_ for best predictions  on crypto",1
580,Im a tinder swindler with all my coins,0
581,For sure don’t stay in dead project that why one of my favorite project is #Opulous they gonna do the first music fungible exchange that you can trade in real time.. pretty much like synthetic asset.. except for music royalty.. it should be online by September.. before Q4..,0
582,$hood?,0
583,Ahem… ADA fanbois… he means you guys.,0
584,About to propose to the one,0
585,What is your opinion about #Chainlink ?,0
586,marrying &gt;&gt; dating,0
587,"You should be dating your coins, not marrying them. Sell when you don't see a future with them ",0
588,"That may be true for shillers. Teams, on the other hand, should be married to their projects. You have @thetufteam team- building since June 2021 - that's two years! ",0
589,It took me awhile to make that first step. After that I'm less hesitant to act.,0
590,"i just trade it thats all , it keep things simple and easy",0
591,"Although cryptocurrency exchanges earn a lot of profits, they still face many difficulties and problems due to several factors that make them likely to go bankrupt.",0
592,Who does it better? Crypto exchanges or the government? ,0
593,They prolly doing a jaredfromsubway out there.. and overleverage themselves in other shits,0
594,Fr,0
595,This is why I have faith in @Shade_Protocol's private dex and the 6 other defi products that are live and earning fees with their meta engine (metamask compatible too) Trust teams and people. Don't trust too big to fail CEXs that seem to always fail,0
596,Who’s next ?,0
597,Still waiting for a surprise DM of the giveaway which will change mh life,0
598,Mind boggling and quite ridiculous at the same time.,0
599,Exactly sir,0
600,"Case in point... the longnggg saga continues... for Exchanges and apparently ‘just’ in the beginning stages for CZ and crew ? Who’s next in line to fade/implode, within the exchange ‘niche’  ",0
601,Fr man,0
602,"Trading with user funds is the biggest mistake. If they don't do this, they will survive as long as they can pay their bills.",0
603,"Siphoning off more cash than the biz makes is bad, mmmmkay. ",0
604,#Greed,0
605,You thought we were degen gamblers? Meet exchange owners ,0
606,That's true and sad how they loot peoples in broad daylight,0
607,To much money ain’t enough money. (lil Wayne),0
608,Yes,0
609,Had the same thought,0
610,It’s crazy uno,0
611,they should do better and lower taxes for people,0
612,it will get fucked regardless,0
613,Everyone loved the good boy who wanted to save the world. ,0
614,Ngl i made most of my money when FTX crashed ,0
615,@ParrotCapital,0
616,@cz_binance locking some large investors out their accounts claiming ''source of funds '' check. Something is up with Binance,0
617,"They want cheaper prices so whatever gets there its fine. Don´t even measure the consequences of their desires, and not even think about if its deserved or not.",0
618,cz not a well connected jew,0
619,@NachoTrades Fud to keep as many people out as possible of the market before the big pumps,0
620,Just Adam things ,0
621,Those who are praying for CZ downfall are not crypto SUPPORTERS ,0
622,"I have no exposure to FTX or Binance, but it's probably because he initiated the entire house of cards explosion and now it's blowing back on him. In his effort to take over the industry, he's directly screwed himself. People that had money in FTX probably are just seeking blood",0
623,The PTSD is strong,0
624,Because they're totally sidelined waiting,0
625,Like wtf right. Cringe behaviour from them..,0
626,CZ is unfuckable.,0
627,"It's just like $USDT the hate keeps on growing more and more as Tether, Binance keep on succeeding and growing",0
628,CZ makes money counter trading his customers.,0
629,They desperately want an entry,0
630,Because their 12k fills never got filled.,0
631,Layers there,0
632,Wait till they reveal the saudi connection,0
633,because a lot of people feel they have missed a potential bottom and the only way for a real big dump to happen is for Binance to get fucked.,0
634,Everyone who got fucked in FTX wants Binance users to get fucked too lmao,0
635,Homies don't understand that if Binance gets fucked their coins gonna dump till hell .,0
636,Sam and cz are not the same lol.. people are just listening to the suits fud.,0
637,cos I DMed him with 69 threads to shill my coins but he ignored me,0
638,@NachoTrades Recency bias,0
639,"Because they were probably scamming retail traders aka crypto bro's. (Insider trading, fake volume, front running etc etc). BTC 100k would already be a reality if we all went DEX instead of CEX.",0
640,People just wanna blame someone from this price action,0
641,They are short BNB.,0
642,maybe time to long bnb.,0
643,ppl just butt hurt that they lost money on FTX so they trying to find revenge instead of moving on and trying to use their time more productively,0
644,Hey man! You gotta check out $EYE make sure you don't miss this one! It's a multifunctional bot that offers easier life for your crypto journey. @TheEYELabs ,1
645,Democrats are pissed he exposed their greatest benefactor of all time. They are going to try to make CZ feel the pain because of it.,0
646,Many wants to buy #BNB cheaper but they will start fomo buyong at over $300. Just like many who are waiting for $btc to drop will start buying at over $40k. That happened every time since 2014 ,0
647,"It’s the only FUD left. Ah and the good old Tether FUD, whenever market is in 5% correction.",0
648,Lmao haters in disbelief,0
649,"yellow ""coin"" collateral damage",0
650,They don’t believe in CZ,0
651,Need their $20 short to print on mexc,0
652,4,0
653,Jealous haters,0
654,more ppl calling for lower than ppl calling for higher numbers dnt lie,0
655,"People not understanding how much CZ and Binance have been a net plus since 2017 for everybody’s bags. Nobody is a saint and business is business, but out of most major figures and the level of shadiness.. kinda odd to see people hatin this much..",0
656,I just want cheaper #BNB ,0
657,"Same vibes, different month ",0
658,Misery love company,0
659,lose money on FTX then suddenly become experts on insolvency and well versed on how the SEC and DOJ operate,0
660,Hang the banksters,0
661,you're right. the atmosphere is very different. back then i was screaming at the top of my lungs about ftx and that was definitely a contrarian view ,0
662,Bear market ptsd time to move onto a bull market mindset,0
663,Long BNB ,0
664,Everyone is mad they sidelined or sold too early it’s a hated pump,0
665,we want discount bruv $30k is so expensive,0
666,Because they are semi retarded and got PTSD for what happened with FTX.,0
667,Capo been tweeting/posting in his tg for months now “expect binance bad news soon”,0
668,People play trend continuation on misery. They need a pump in their lives to brihten up their hearts.,0
669,No please dont. I rely on binance ,0
670,I’m starting to think it’s just cope. They wanna buy lower.,0
671,Every influencer was supporting FTX.. and saying it was fud… until it wasn’t…,0
672,Lmao.  $SANI  is also waiting to f*** ,0
673,Mr. Cockring going all out for some reason. Like he wasn’t also promoting FTX,0
674,They tryna set up the biggest shorts ever. Ain’t happening!,0
675,Happens every time we get to range lows kek,0
676,It’s all media,0
677,Could someone link me to that defi money making method people have been us_ing?????? Just read about it but cannot find the tutorial??????,1
678,"I RTed this free money glitch on my profile, check it out. Made dec-ent profits with this",1
679,"Anyone has a link to that mone,y making bot????",1
680,"Umm-m...I just found this trading bot today too, check out my TL, I RTed it there",1
681,Where can I_ find that defi free money glitch everybody's using?,1
682,"Yea just RTed this on ""my profile. Making decent money with this. Hope it lasts!",1
683,"I made $20k from copying and pasting signals from Mrs @CrypttoMartha in a week, her trading signals and strategy are amazing @CrypttoMartha",1
684,"Truly proud of the decision I made, it brings me happiness and desires have obtained creating a multiple sources of income. There aren't many who have strategy and better understanding of the current market. Follow @Coach_godfrey01 you trade daily with ease and make good profit",1
685,"We all want to be part of something bigger than ourselves. now is the time to be a part of crypto trading, I think of #bitcoin as a good book, the further you get into it, the more it begins to make sense. Follow @Coach_godfrey01 so you know what I mean.",1
686,"Where can I find that defi free mone""y glitch everybody's using????",1
687,"Mayb,e you should cover the biggest story in DeFi?? People are making crazy money with this method @ATCryptoMom has posted",1
688,"I made $10k from copying and pasting signals from Mr pro_traderalex in a week, his trading signals and strategy are amazing. Thank you so @pro_traderalex",1
689,More of a dream come true creating multiple sources of income. Truly proud of the decision of getting started. There aren't many who have a better understanding of the current market. Follow you can trade daily with ease and make good profits. @ann_donniefx page.I’m sure you will give thanks later .she does great investment & coin pump and has helped me earn impressive returns,1
690,"One of the hallmarks of being a smart trader is knowing how to take profits, regardless of whether it's a bull or bear market. Check out ",1
691,"with so much fuds going around, bear cant even break 30k",0
692,"pump it to 37k liquidate all haters,fudders bear that are heavily positioned in high leverage short",0
693,"ok thats the 12k signal boys, short your house on 100x leverage",0
694,"Wait wut , ninja is bull posting ",0
695,"""pls ninja stop trolling us"" -underwater bulls ",0
696,The only account apart from chase on my timline is short. Pump it ninja.,0
697,Maybe some will believe it.,0
698,Lol,0
699,"So everybody is talking about this method @ATCryptoMom has posted, but you won't mention thi s?????",1
700,"Don’t miss this opportunity of making money with Us, join the channel. ",1
701,I had filled for a BNB short to zero. ,0
702,Let him rest man,0
703,Hehe he answered your call,0
704,cz in few hours: 4,0
705,Don't worry he was just trying to play around in vr exchange build by #alveychain $alv $walv @cz_binance,0
706,Send out the 4 signal ,0
707,lmfao ,0
708,Give the man a break,0
709,They found him,0
710, Funny,0
711,He heard your wish,0
712,Please give him a few ideas to write a tweet ,0
713,"Hey pentoshi, you're trash, scum",0
714,"I used to trade on my own,buy lots of trading courses yet losts half of my income doing so until I was recommended to @Edu_tradesj and co I have been able to get back my money I really appreciate @Edu_tradesj",1
715,"finally took a day off, he’s so lazy",0
716,LFG,0
717,Pls post CZ‘s sleeping schedule next ,0
718,He is in Ibiza:),0
719,Miss the old penguin,0
720,"Comeon pengu, its asunday, let him have his weekend",0
721,I think they have big issues. Randomly blocking peoples withdrawals and not giving any info why.,0
722,"I want to appreciate and thank God for using @KAYLA_TRADES to help me, l'm honestly saying this to everyone. I invested $1000 USD and today I just received $10,500 USD directly to my Bitcoin wallet. Thank you @KAYLA_TRADES",1
723,3M is way more than enough to retire in your 30’s,0
724,Less than 1 billion is not enought,0
725,@UltraXBT add a zero,0
726,So sad. How many more must die from such extreme poverty? ,0
727,"Funny that CT debating this, considering 99% of CT won’t ever reach 10 mill ",0
728,@pierre_crypt0 ,0
729,@screentimes @cagyjan1,0
730,imagine you can retire before becoming a trillionaire,0
731,That's me trying to get to 5figs usd ,0
732,$10M soon,0
733,LMFAO,0
734,Brokie,0
735,yalla,0
736,"Most of western europe, you can live of 1.2-1.5 mil forever, while withrawing 5000€ /month (capital gains tax already included). Yes it is that easy. No you do not need 10mil. or even 3. Just do not expect to have 3 unneccesary cars and a large inner city penthouse.",0
737,Dude ,0
738,Will grind myself to 100k first ,0
739,Who is the guy that started the 10m discussion?,0
740,What a great #crypto meme of this week. CT was always fun though ,0
741,We are so back,0
742,lol,0
743,Gold,0
744,CT ,0
745,"It's fascinating how many people underestimate the value of $10 million. With that kind of money, the possibilities are endless. Yet, if it still doesn't seem like much, even $100 million falls short. But you know better Tree, as we all are far from it yet.",0
746,Looool,0
747,Damn,0
748,tree please ,0
749,You didn’t make it until you own a private jet. ,0
750,Retiring before hiting 10 mil? Bruh ,0
751,what a noob,0
752,WHAT I was thinking of retiring with 10k $ ,0
753,couldnt be me,0
754,Makes you wonder about their background tbh,0
755,Dying,0
756,ahahhaa,0
757,Bruh Who thinks of retiring these days!,0
758,Keep grinding,0
759,Good! I also listen to you and @binance_wolves for good signals and analysis ,1
760,waiting patiently for your thoughts on $HOOD...,0
761,Any thoughts on $SPWR? Looks ready to blow as well. Up nice today.,0
762,"I made $10k from copying and pasting signals from Mr pro_traderalex in a week, his trading signals and strategy are amazing. Thank you so @pro_traderalex",1
763,Thank you,0
764,Been killing it with these TA setups brother.,0
765,W_here's that defi free money glitch people are using?,1
766,"Waiting is boring. Im still fully hedged and not cutting any shorts until price drops to 28/29k or flips 30/31k resistance to support, I'm super grateful to @Altcoinkarlhein for the Info, TA and tutorials accumulated 1btc, 2eth so far in just 2 months follow Karl now!!",0
767,Ithink many would love the prize to be at 25k.. So therefore it wont happend,0
768,"Interesting, up is hopeless for you? There will be things you don't want to see in the future",0
769,so true..,0
770,"$30.2k-$32k remains the key resistance level. If bulls can take that out, it's a straight shot to $40k. #bitcoin If you aren't following @_even00 you should be There aren't many who have a better understanding of value investing and TA",1
771,You think BTC going down will kill current alt rally?,0
772,It's crazy how much money people areeee making with this @ATCryptoMom trick. She's ;the best!,1
773, let’s gooo,0
774,This is the greatest surprise all my life to wake up and receive $5500 out of $500 investment after so many tries I finally found a Legit platform for investment. All thanks to Mrs @Milly_Berst_fxt for making this possible.,1
775,Anybody has info abo'ut that defi money-making bot???,1
776,"So everybody is talking about this method @ATCryptoMom has posted, but you won't mention :this???!.",1
777,and registration to my group/portfolio service is back open - still only $30! so be quick if you want to get in this time! ,1
778,That GIF... PMSL everytime,0
779,lmfao,0
780,Don't wait any longer to start making serious money with crypto - learn from this web3 dev's MEV tactics and watch your profits soar!,1
781,Ethere;um devs are making serious money with MEV and arb bots! Find the link on my TL - I retweeted it!)(,1
